id,educ,peduc,kids,agem,rural
640,10,0,3,18,0
641,15,15,2,18,0
642,17,15,2,25,0
643,17,17,2,20,0
644,17,17,1,22,0
645,17,17,1,26,0
646,0,10,3,12,0
647,10,19,2,19,0
648,15,15,1,23,0
649,17,17,2,29,0
650,15,15,2,24,0
651,0,6,2,13,1
652,6,5,0,14,1
653,0,9,3,16,1
654,0,4,3,18,1
655,0,0,2,13,1
656,0,15,4,14,1
657,0,3,4,16,1
658,5,4,2,14,1
659,4,6,2,14,1
660,0,2,3,18,1
661,0,0,6,18,1
662,9,0,3,16,1
663,0,4,3,13,1
664,0,0,4,16,1
665,0,7,2,12,1
666,0,4,3,15,1
667,6,9,3,22,1
668,7,0,4,14,1
669,9,5,0,14,1
670,0,7,3,17,1
671,7,10,1,15,1
672,10,15,2,18,1
673,0,0,3,15,1
674,0,6,3,16,1
675,5,0,4,15,1
676,15,9,2,18,1
677,8,0,2,14,1
678,0,0,2,17,1
679,10,10,3,16,1
680,0,0,3,22,1
681,5,3,1,17,1
682,6,7,2,17,1
683,0,0,5,13,1
684,0,7,1,12,1
685,0,10,2,12,1
686,0,10,1,17,1
687,0,0,3,13,1
688,0,0,0,18,1
689,1,10,2,15,1
690,0,0,4,13,1
691,12,15,2,22,1
692,0,0,6,14,0
693,7,12,4,16,0
694,12,7,1,20,0
695,0,0,3,18,0
696,0,5,2,14,0
697,10,10,2,18,0
698,9,12,2,17,0
699,10,12,2,18,0
700,10,7,1,20,0
701,10,10,4,17,0
702,0,0,3,17,0
703,0,0,3,16,0
704,5,5,2,18,0
705,0,7,4,19,0
706,10,15,6,14,0
707,10,10,2,21,0
708,10,10,3,21,0
709,0,7,2,16,0
710,5,7,2,16,0
711,15,12,0,18,0
712,9,10,4,13,0
713,2,8,2,18,0
714,7,0,0,18,0
715,7,5,3,19,0
716,15,10,1,24,0
717,15,15,2,23,0
718,12,12,3,18,0
719,12,10,1,22,0
720,0,0,3,16,0
721,10,12,8,14,0
722,7,12,3,14,0
723,0,0,3,14,0
724,6,12,2,19,0
725,6,9,2,16,0
726,0,0,8,13,0
727,4,5,3,16,0
728,0,4,5,22,0
729,15,10,3,22,0
730,7,3,4,15,0
731,10,10,3,18,0
732,6,12,3,14,0
733,7,10,1,16,0
734,10,0,3,17,0
735,12,12,3,24,0
736,10,15,3,22,0
737,5,9,7,18,0
738,15,15,4,20,0
739,12,15,2,18,0
740,15,10,4,19,0
741,10,10,4,16,0
742,7,10,3,20,0
743,10,12,7,19,0
744,12,12,2,22,0
745,15,15,3,27,0
746,0,2,6,19,0
747,10,7,1,21,0
748,4,10,1,17,0
749,8,9,4,23,0
750,10,12,5,13,0
751,12,15,0,19,0
